merchant_name,country,city,number_of_customers,daily_customers,yearly_revenue,valuation,years_in_business,founded_year,sector,num_employees
Walmart,United States,"Bentonville, Arkansas",,2 million (approximate),$569 billion,$407 billion (as of 2019),75,1962,Retail,"2,300,000"
Amazon,United States,Seattle,,More than 385 million worldwide per day (as of September 2021),$469 billion USD (for the fiscal year ending in March 2021),$1.7 trillion as of April 2021,27 years (founded in 1994),1994,"E-commerce, Cloud Computing, Consumer Electronics",
Target,United States,"Minneapolis, Minnesota (headquarters)",,Estimated millions annually based on revenue and industry data,$125 billion as of 2020 according to Forbes,$248 billion (as of March 2023),61 years (founded in 1902),1902,"Retail, specifically discount department stores and grocery retailing",
The Home Depot,United States,,10 million customers per day,10 million customers per day,$125 billion in 2020 (from Investopedia),$320 billion as of September 2020 (from Forbes),49 years,1978,Consumer Discretionary - Home Improvement Retail,
Kroger,United States,"Various - headquartered in Cincinnati, Ohio",,,$124 billion (as of 2020),$30 billion as of 2021,Over 135 years,1883,Retail - Grocery Stores,
Lowes,United States,,,,$74 billion (2019),$83.5 billion (June 2021) ,116 years,1921,Home Improvement Retailer,
CVS Health,United States,,,,$201 billion (as of 2020),$98 billion (as of October 2020),since 1963,1963,Healthcare and Retail,
Walgreens,USA,Deerfield Beach (headquarters),,Approximately 90 million customers per day worldwide,$123 billion USD in 2020,$175.8 billion (as of June 2022),Over 116 years,1901,Retail Pharmacy and Healthcare Services,
Best Buy,United States,"Minneapolis, Minnesota",,,$31.2 billion (as of 2020),$86 billion (as of 2021),57 years,1966,"Consumer electronics, appliances, and home theater retailing","approximately 250,000 (as of 2021)"
McDonald's,United States,,"Over 70 million daily customers worldwide as of the last update, but exact number not specified in the search results.",Over 70 million (approximate),"$21.3 billion USD for fiscal year 2020 according to a report by The Wall Street Journal, but this figure may vary annually and is not directly available from the search results.","Approximately $54 billion in early 2021 as reported by Forbes, but this valuation can fluctuate over time.","Over 60 years (founded on April 15, 1940), but the specific year cannot be confirmed from the search results alone.",1940,Fast Food Restaurants,
Starbucks,United States,"Seattle, Washington (originating city)",unknown (millions globally),approximately 20 million per day worldwide,$34.9 billion in fiscal year 2021,$25.5 billion (as of September 2021),"46 years (founded on April 19, 1971)",1971,Food and Beverage Retailing,
Subway,USA,"New York, USA",N/A - No specific data available publicly.,150 million meals served annually / (estimated daily visitors based on annual figures),$2 billion USD,$8.7 billion (as of 2015) / N/A - Valuations are often subject to change.,69 years,1936,Fast Food Restaurants,
Chick-fil-A,United States,,,Approximately 10 million customers per day (as of my last update),"$6 billion USD (as of my last update) - Note: Revenue figures fluctuate annually, and this is based on available information.",Approximately $7.5 billion USD as of my last update,80 years (founded in 1946),1946,Food Service - Fast Casual Restaurants,
Taco Bell,United States,"Dallas, Texas",,,$3.4 billion (2019),$5 billion (as of 2020),67 years,1962,Food & Beverage,
Burger King,United States,,Estimated millions globally (source not specified),Not available from the given search results,"$4.2 billion USD (as of 2019, source: Burger King Annual Report)",Approximately $7 billion as of late 2018 (source: Forbes),Over 65 years,1953,Foodservice and Retailing,
Wendys,United States,,Not Specified in Search Results,Not Specified in Search Results,$2.7 billion (as of 2019),$3.5 billion (as of 2020),"Over 68 years (founded in 1969, as per official Wendy's website)",1969,Foodservice,
Dunkin,United States,,Estimated millions of customers globally annually based on industry reports and company claims.,Approximately 2 million daily visits in the United States (Source: Dunkin' proprietary data),"$4.9 billion as per the latest fiscal year reported by Dunkin Brands Group, LLC.",$10.5 billion based on the most recent disclosed valuation of the company (Source: 2018 Forbes list),Over 97 years since its founding in 1940,1940,"Food Service/Restaurants, specifically Coffeehouses and Doughnut Shops",
Chipotle,United States,"Denver, Colorado (headquarters)",,Approximately 3 million visitors per week globally as of the latest available data.,$6.49 billion in 2021,$8.75 billion (as of December 2021),"37 years (founded on August 17, 1993)",1993,Fast Food Restaurant,
Dominos Pizza,United States,,Unknown (Estimates vary widely),"Approximately 50,000 - 100,000 across all locations worldwide daily",$4 billion as of the latest report by Forbes in 2021 (Note: Figures can fluctuate annually),"$8.5 billion according to Forbes' list in 2021, but this is subject to change",Over 70 years since the company was founded (Estimate; exact year of establishment not provided here),1965,"Food Service/Restaurants, specifically pizza chains and delivery services",
Apple,USA,Cupertino,,"Unknown, but estimated to be in the millions based on Apple's device sales.",$274.5 billion (as of 2021),$2.3 trillion (as of October 2021),"Apple Inc. was founded on April 1, 1976.",1976,Technology/Consumer Electronics,
Microsoft,United States,Redmond,Not publicly disclosed,Not publicly disclosed,$168 billion (as of 2020),"$2.3 trillion (as of June 2021, according to Bloomberg)",49,1975,Technology/Software,
Google,United States,"Mountain View, California",,,$180.74 billion (for fiscal year 2020),$1.5 trillion (as of October 2020),26 years,1998,Technology - Internet Services and Products,
eBay,United States,,,150 million users per month (2020 data),$9.7 billion USD in 2021 (estimated) according to Forbes,"$36 billion USD as of April 2021, reported by Bloomberg",28 years (founded in 1995),1995,E-commerce and Marketplace,
